ID,expFix,fix,early,late,missing,errenousDates,noFix,outBounds
CollarID 955 Calf 6237,6074,3597,2470,5,1404,0,1406,0
CollarID 956 Calf 3127,6072,3705,2362,3,1874,0,1876,0
CollarID 957 Calf 6207,6066,3835,2208,20,2036,0,2039,0
CollarID 958 Calf 6164,6067,3634,2425,6,1521,0,1523,0
CollarID 959 Calf 150,6062,3472,2580,8,1390,0,1392,0
CollarID 960 Calf 8272,6060,4515,1536,7,3504,0,3506,0
CollarID 961 Calf 196,6053,3726,2316,10,1815,0,1816,0
CollarID 962 Calf 155,6051,3553,2490,6,1377,0,1379,0
CollarID 963 Calf 6150,6035,3710,2318,4,1671,0,1674,0
CollarID 964 Calf 8173,6048,3584,2459,4,1513,0,1514,0
