"ID","expFix","fix","early","late","missing","errenousDates","noFix","outBounds"
"CollarID 80379 BullID 5175",9568,21.3344011828487,1.38615081320848,8.75431246919665,49.9274749350737,0.0677673730901922,0.344062216768658,18.1858310098136
"CollarID 80378 BullID 5175",19791,18.1535427097557,0.920447074293228,2.57674606787033,70.4571890962424,0.0682749203459263,1.51469175137814,6.3091083801143
"CollarID 80383 BullID 32",11845,0,0,0,100,0,0,0
"CollarID 80382 BullID 453",7445,25.6427696911985,1.5848183920555,8.0397224867365,50,0.0884233437627534,0.612161610665216,14.0321044755816
"CollarID 80384 BullID 82",27274,51.7219121990956,2.78829150278789,10.2122641316862,6.20044380894599,0.145544099995518,0.262120702824353,28.6694235546645
"CollarID 80380 BullID 143",27296,7.70526578487647,0.910905914649364,4.78537559271275,2.09316749455115,0.180933366608435,75.7705709631479,8.55378088345396
"CollarID 80391 BullID 934",27262,45.1544506461288,2.80243628565847,9.63692914519216,-5.83731672309466,0.190510401277819,3.11216229688228,33.2661945017658
"CollarID 80390 BullID 941",27249,56.1773270094554,2.76318581351921,11.3806752083823,-5.88881288074082,0.102135748952288,0.275003080330211,23.4128602586197
"CollarID 80381 BullID 6035",27276,44.729665467594,2.77607785096336,9.97220961214156,-1.76358652176789,0.144306119868443,0.374403973466255,40.2397504541985
"CollarID 80387 BullID 7245",12193,31.2624183085125,3.49391017248624,9.76423604820001,-13.2344078353924,0.200622776930278,6.33143849461669,35.7129663638619
"CollarID 80389 BullID 8172",27260,40.3416266390992,3.471884402045,11.4054677127522,18.6738077921301,0.210210320198466,2.69811634243884,23.1988867913362
"CollarID 80386 BullID 8239",27284,44.1084588653846,2.96144950594336,9.34663195988988,0.814025010754253,0.327292597660419,3.02440079849892,39.4177412618686
"CollarID 80388 BullID 8267",17952,20.3050737955693,1.41042791999814,6.28953581110105,5.63227438749251,0.472935629733489,31.4021538608395,34.487598595266
"CollarID 80385 BullID 8294",27287,16.231659846292,1.06797085537479,2.52270685697175,56.1896653497271,0.114781914362711,18.3936263959561,5.4795887813155
